// PatSize	  TextSize	  Naive-RT	    KMP-RT
      1000	    550000	      5449	      4277
     10000	    550000	      4788	      3716
    100000	    550000	      5821	      2869
        10	    560000	      5453	      4213
       100	    560000	      5227	      4069
      1000	    560000	      5244	      4533
     10000	    560000	      5830	      4093
    100000	    560000	      6404	      3439
        10	    570000	      6501	      4469
       100	    570000	      5195	      4389
      1000	    570000	      4845	      5002
     10000	    570000	      5295	      3968
    100000	    570000	      5974	      2529
        10	    580000	      5202	      4763
       100	    580000	      5695	      4874
      1000	    580000	      5420	      4420
     10000	    580000	      5206	      4199
    100000	    580000	      6224	      2597
        10	    590000	      7704	      5178
       100	    590000	      5915	      4916
      1000	    590000	      5329	      4914
     10000	    590000	      5781	      4254
    100000	    590000	      6414	      3276
        10	    600000	      5516	      5085
       100	    600000	      5183	      5207
      1000	    600000	      5724	      4595
     10000	    600000	      5973	      4288
    100000	    600000	      7076	      2957
        10	    610000	      5101	      4791
       100	    610000	      5539	      4657
      1000	    610000	      5935	      5069
     10000	    610000	      7113	      4761
    100000	    610000	      6832	      2954
        10	    620000	      7152	      5067
       100	    620000	      7733	      4960
      1000	    620000	      7391	      6282
     10000	    620000	      7682	      4478
    100000	    620000	     10136	      2673
        10	    630000	      5463	      5521
       100	    630000	      6073	      4723
      1000	    630000	      5591	      5587
     10000	    630000	      5600	      4389
    100000	    630000	      7385	      2962
        10	    640000	      6057	      5283
       100	    640000	      5553	      5177
      1000	    640000	      6911	      5320
     10000	    640000	      5946	      4189
    100000	    640000	      8039	      3523
        10	    650000	      5694	      4969
       100	    650000	      6523	      6374
      1000	    650000	      6686	      5111
     10000	    650000	      5837	      4580
    100000	    650000	      6911	      3228
        10	    660000	      6657	      5309
       100	    660000	      9630	      4965
      1000	    660000	      6211	      5462
     10000	    660000	      6210	      4867
    100000	    660000	      7026	      3654
        10	    670000	      7434	      5335
       100	    670000	      6829	      5195
      1000	    670000	      6270	      5871
     10000	    670000	      6927	      4477
    100000	    670000	     14798	      3335
        10	    680000	      5965	      5253
       100	    680000	      6857	      5681
      1000	    680000	      6464	      5183
     10000	    680000	      6176	      4445
    100000	    680000	      8309	      4035
        10	    690000	      7302	      6271
       100	    690000	      6087	      5800
      1000	    690000	      6196	      4998
     10000	    690000	      6295	      5105
    100000	    690000	      7040	      4073
        10	    700000	      6362	      5283
       100	    700000	      5693	      5789
      1000	    700000	      6899	      5503
     10000	    700000	      6896	      4868
    100000	    700000	      7896	      3532
        10	    710000	      8222	      5471
       100	    710000	      6402	      5619
      1000	    710000	      7712	      5701
     10000	    710000	      6475	      4704
    100000	    710000	      8156	      3909
        10	    720000	      6902	      6024
       100	    720000	      6369	      5780
      1000	    720000	      6159	      6264
     10000	    720000	      6298	      5850
    100000	    720000	      7499	      3807
        10	    730000	      6369	      6507
       100	    730000	      6369	      6673
      1000	    730000	      6611	      6561
     10000	    730000	      6736	      5553
    100000	    730000	      8455	      4933
        10	    740000	      6527	      6848
       100	    740000	     10871	      6389
      1000	    740000	      6396	      6597
     10000	    740000	      7371	      6093
    100000	    740000	      8103	      3387
        10	    750000	      7301	      5673
       100	    750000	      7294	      5906
      1000	    750000	      7083	      6379
     10000	    750000	      7586	      5230
    100000	    750000	      8714	      5164
        10	    760000	      8524	      7217
       100	    760000	      6758	      6317
      1000	    760000	      7135	      6273
     10000	    760000	      7596	      5903
    100000	    760000	     10128	      5071
        10	    770000	      6762	      5872
       100	    770000	      8157	      5983
      1000	    770000	      6750	      5936
     10000	    770000	      7254	      5426
    100000	    770000	      8401	      5013
        10	    780000	      6719	     15605
       100	    780000	      6893	      6433
      1000	    780000	      7093	      8451
     10000	    780000	     18194	      5635
    100000	    780000	     10792	      3591
        10	    790000	      7757	      9148
       100	    790000	      6971	      6734
      1000	    790000	      8975	      6492
     10000	    790000	     11515	      5410
    100000	    790000	      9179	      6219
        10	    800000	      9082	      6317
       100	    800000	      7972	      6386
      1000	    800000	      7549	      6464
     10000	    800000	      7814	      5792
    100000	    800000	     13119	      5533
        10	    810000	      7211	      6530
       100	    810000	      6972	      6838
      1000	    810000	      8931	      6384
     10000	    810000	      8425	      7209
    100000	    810000	      8981	      3652
        10	    820000	      7667	      6422
       100	    820000	      7808	      6446
      1000	    820000	      8459	      7174
     10000	    820000	      9219	      7549
    100000	    820000	      9235	      3987
        10	    830000	      7317	      6381
       100	    830000	      7217	      6930
      1000	    830000	      8372	      6423
     10000	    830000	      7682	      5444
    100000	    830000	     10295	      4125
        10	    840000	      6817	     10650
       100	    840000	      7484	      7085
      1000	    840000	      8118	      6728
     10000	    840000	      7349	      6771
    100000	    840000	      9222	      3756
        10	    850000	      7958	      7060
       100	    850000	      8114	      6854
      1000	    850000	      7215	      6923
     10000	    850000	      8348	      5673
    100000	    850000	      9838	      4570
        10	    860000	      8909	      7517
       100	    860000	      7657	      8131
      1000	    860000	      8247	      7274
     10000	    860000	      8315	     14896
    100000	    860000	      9724	      4074
        10	    870000	      7567	      6782
       100	    870000	      7601	      7233
      1000	    870000	      8014	      7428
     10000	    870000	      7954	      6762
    100000	    870000	      9720	      4534
        10	    880000	      7716	      6803
       100	    880000	      8077	      6824
      1000	    880000	      8188	      9657
     10000	    880000	      7821	      8505
    100000	    880000	      9958	      9495
        10	    890000	     11648	      7318
       100	    890000	      7997	      6740
      1000	    890000	      8630	      8640
     10000	    890000	     10247	      6437
    100000	    890000	     12564	      4512
        10	    900000	      7755	      8801
       100	    900000	      9561	      7006
      1000	    900000	      9610	      7303
     10000	    900000	      9020	      6259
    100000	    900000	     10570	      3968
        10	    910000	      8307	      7679
       100	    910000	      8210	      6982
      1000	    910000	      7959	      7834
     10000	    910000	      9089	      9715
    100000	    910000	     12451	      4399
        10	    920000	      8471	      7291
       100	    920000	      9272	      7755
      1000	    920000	      7971	      7222
     10000	    920000	      8216	      6248
    100000	    920000	      9877	      4135
        10	    930000	      7907	      8500
       100	    930000	      8745	      7223
      1000	    930000	      7943	      9944
     10000	    930000	      8393	      6922
    100000	    930000	     10802	     11818
        10	    940000	      8346	      7485
       100	    940000	      9838	      8468
      1000	    940000	      9656	      9302
     10000	    940000	      8736	      8670
    100000	    940000	     11169	      3895
        10	    950000	      8513	      8772
       100	    950000	     10110	      8242
      1000	    950000	      9177	      7751
     10000	    950000	     10017	      8932
    100000	    950000	     10745	      7293
        10	    960000	      9426	      8456
       100	    960000	      8233	      7711
      1000	    960000	      8023	      8411
     10000	    960000	      8866	      7900
    100000	    960000	     12356	      5319
        10	    970000	     10313	     11867
       100	    970000	      8849	      9894
      1000	    970000	      8758	     10326
     10000	    970000	     18458	      9609
    100000	    970000	     10697	      5126
        10	    980000	      8309	      7906
       100	    980000	      9760	      7427
      1000	    980000	      8735	      7087
     10000	    980000	      9028	      7373
    100000	    980000	     10492	      8074
        10	    990000	     10823	      7605
       100	    990000	      9818	      8916
      1000	    990000	      8151	      7680
     10000	    990000	      9203	      8130
    100000	    990000	     11051	      4358
        10	   1000000	      9077	      9803
       100	   1000000	      9251	      7450
      1000	   1000000	      9331	      9232
     10000	   1000000	      8719	      6686
    100000	   1000000	     10878	      5787
