// PatSize	  TextSize	  Naive-RT	    KMP-RT
        10	    780000	      6090	      5106
       100	    780000	      6101	      5020
      1000	    780000	      6217	      5058
     10000	    780000	      6149	      4743
    100000	    780000	      8141	      2986
        10	    790000	      6078	      5057
       100	    790000	      6070	      5131
      1000	    790000	      6158	      5041
     10000	    790000	      6281	      4572
    100000	    790000	      7389	      3016
        10	    800000	      6211	      5242
       100	    800000	      6050	      5145
      1000	    800000	      6235	      5103
     10000	    800000	      6368	      4597
    100000	    800000	      7488	      4427
        10	    810000	      6311	      5201
       100	    810000	      6181	      5251
      1000	    810000	      6333	      5149
     10000	    810000	      6475	      4706
    100000	    810000	      7640	      3064
        10	    820000	      6441	      5312
       100	    820000	      6401	      5212
      1000	    820000	      6448	      5285
     10000	    820000	      6466	      5600
    100000	    820000	      7634	      3098
        10	    830000	      6379	      5326
       100	    830000	      6310	      5298
      1000	    830000	      6733	      5276
     10000	    830000	      6519	      4816
    100000	    830000	      7705	      4541
        10	    840000	      6595	      5444
       100	    840000	      6362	      5539
      1000	    840000	      6448	      5437
     10000	    840000	      6750	      4838
    100000	    840000	      7851	      3182
        10	    850000	      6568	      5452
       100	    850000	      6546	      5616
      1000	    850000	      6646	      5468
     10000	    850000	      6720	      5135
    100000	    850000	      8044	      4908
        10	    860000	      6719	      5533
       100	    860000	      6653	      5632
      1000	    860000	      6792	      5487
     10000	    860000	      6914	      4934
    100000	    860000	      8135	      3273
        10	    870000	      6861	      5606
       100	    870000	      6705	      5629
      1000	    870000	      6798	      5578
     10000	    870000	      6815	      5013
    100000	    870000	      8134	      3411
        10	    880000	      6745	      5631
       100	    880000	      6888	      5606
      1000	    880000	      6910	      5706
     10000	    880000	      6890	      5096
    100000	    880000	      8170	      4738
        10	    890000	      7077	      5727
       100	    890000	      7021	      5804
      1000	    890000	      6959	      5679
     10000	    890000	      7028	      5209
    100000	    890000	      8264	      3703
        10	    900000	      6907	      5810
       100	    900000	      7013	      5890
      1000	    900000	      6909	      5725
     10000	    900000	      7090	      5259
    100000	    900000	      8478	      3485
        10	    910000	      7091	      5854
       100	    910000	      6976	      5823
      1000	    910000	      7124	      5772
     10000	    910000	      7393	      5171
    100000	    910000	      8541	      3336
        10	    920000	      7124	      6295
       100	    920000	      7186	      5971
      1000	    920000	      7187	      5883
     10000	    920000	      7337	      5341
    100000	    920000	      8784	      3411
        10	    930000	      7215	      5971
       100	    930000	      7276	      6093
      1000	    930000	      7223	      5972
     10000	    930000	      7526	      5365
    100000	    930000	      8706	      3458
        10	    940000	      7619	      6092
       100	    940000	      7178	      6048
      1000	    940000	      7476	      6049
     10000	    940000	      7464	      5416
    100000	    940000	      8687	      3475
        10	    950000	      7317	      6182
       100	    950000	      7518	      6195
      1000	    950000	      7433	      6169
     10000	    950000	      7660	      5476
    100000	    950000	      8870	      3593
        10	    960000	      7456	      6244
       100	    960000	      7416	      6192
      1000	    960000	      7429	      6373
     10000	    960000	      7618	      5539
    100000	    960000	      8913	      3568
        10	    970000	      7534	      6260
       100	    970000	      7484	      6286
      1000	    970000	      7497	      6523
     10000	    970000	      7729	      5637
    100000	    970000	      9015	      4737
        10	    980000	      7720	      6401
       100	    980000	      7695	      6416
      1000	    980000	      7770	      6275
     10000	    980000	      7784	      5907
    100000	    980000	      9639	      3707
        10	    990000	      7670	      6404
       100	    990000	      7757	      6483
      1000	    990000	      7667	      6371
     10000	    990000	      7929	      5686
    100000	    990000	      9331	      3608
        10	   1000000	      7697	      6544
       100	   1000000	      7811	      6480
      1000	   1000000	      7672	      6455
     10000	   1000000	      7994	      5768
    100000	   1000000	      9747	      5668
