// PatSize	  TextSize	  Naive-RT	    KMP-RT
       100	    660000	      5327	      4524
      1000	    660000	      5240	      4371
     10000	    660000	      5252	      4021
    100000	    660000	      6491	      2696
        10	    670000	      5868	      4790
       100	    670000	      5615	      4533
      1000	    670000	      5924	      4515
     10000	    670000	      5467	      4163
    100000	    670000	      6566	      2798
        10	    680000	      5791	      4704
       100	    680000	      5455	      4959
      1000	    680000	      6093	      4536
     10000	    680000	      5514	      4099
    100000	    680000	      6340	      2820
        10	    690000	      6401	      4863
       100	    690000	      5764	      5025
      1000	    690000	      5918	      4798
     10000	    690000	      6087	      4558
    100000	    690000	      7306	      2868
        10	    700000	      6268	      4944
       100	    700000	      5479	      4866
      1000	    700000	      5473	      4918
     10000	    700000	      5503	      4549
    100000	    700000	      6516	      3119
        10	    710000	      6004	      4804
       100	    710000	      6216	      5041
      1000	    710000	      6017	      5030
     10000	    710000	      6076	      4392
    100000	    710000	      6909	      3026
        10	    720000	      5745	      4813
       100	    720000	      5587	      5284
      1000	    720000	      5922	      5016
     10000	    720000	      6082	      4465
    100000	    720000	      7087	      2908
        10	    730000	      5967	      5303
       100	    730000	      5654	      4911
      1000	    730000	      5984	      5039
     10000	    730000	      6067	      4324
    100000	    730000	      7584	      2952
        10	    740000	      6287	      5024
       100	    740000	      6247	      5210
      1000	    740000	      5750	      5358
     10000	    740000	      5913	      4641
    100000	    740000	      7417	      3043
        10	    750000	      6324	      5013
       100	    750000	      6198	      4984
      1000	    750000	      5854	      5305
     10000	    750000	      6016	      4887
    100000	    750000	      7556	      3629
        10	    760000	      7230	      5663
       100	    760000	      5904	      5448
      1000	    760000	      6393	      5384
     10000	    760000	      6071	      4712
    100000	    760000	      7507	      3128
        10	    770000	      6452	      5455
       100	    770000	      6270	      5545
      1000	    770000	      6177	      5497
     10000	    770000	      6328	      4603
    100000	    770000	      7587	      3149
        10	    780000	      6649	      5574
       100	    780000	      6329	      5306
      1000	    780000	      6437	      5422
     10000	    780000	      6896	      4917
    100000	    780000	      7564	      3210
        10	    790000	      6864	      5452
       100	    790000	      7711	      5367
      1000	    790000	      6652	      5269
     10000	    790000	      6437	      5062
    100000	    790000	      7691	      3105
        10	    800000	      6692	      5848
       100	    800000	      6304	      6112
      1000	    800000	      6385	      5406
     10000	    800000	      6562	      5353
    100000	    800000	      7643	      3299
        10	    810000	      7226	      5700
       100	    810000	      6544	      5945
      1000	    810000	      6680	      5784
     10000	    810000	      6442	      5404
    100000	    810000	      7875	      3289
        10	    820000	      6834	      5751
       100	    820000	      6385	      5790
      1000	    820000	      6669	      5766
     10000	    820000	      6583	      5136
    100000	    820000	      8200	      3344
        10	    830000	      6970	      5640
       100	    830000	      7028	      5680
      1000	    830000	      6669	      5608
     10000	    830000	      6884	      5194
    100000	    830000	      8048	      3290
        10	    840000	      7362	      5741
       100	    840000	      6811	      5802
      1000	    840000	      6826	      5830
     10000	    840000	      6953	      5318
    100000	    840000	      8084	      3412
        10	    850000	      7162	      5809
       100	    850000	      6894	      5698
      1000	    850000	      6835	      5633
     10000	    850000	      7261	      5443
    100000	    850000	      8024	      3249
        10	    860000	      7360	      6205
       100	    860000	      7157	      5977
      1000	    860000	      7136	      6002
     10000	    860000	      7144	      5399
    100000	    860000	      8490	      3486
        10	    870000	      7499	      6327
       100	    870000	      7192	      6131
      1000	    870000	      6982	      6048
     10000	    870000	      7027	      5575
    100000	    870000	      8598	      3457
        10	    880000	      7725	      6185
       100	    880000	      7131	      6159
      1000	    880000	      7139	      5810
     10000	    880000	      7339	      5230
    100000	    880000	      8932	      3440
        10	    890000	      7690	      6544
       100	    890000	      7086	      6402
      1000	    890000	      7379	      6408
     10000	    890000	      7349	      5553
    100000	    890000	      8547	      3593
        10	    900000	      7578	      6812
       100	    900000	      7062	      6288
      1000	    900000	      7261	      6225
     10000	    900000	      7391	      5699
    100000	    900000	      8724	      3641
        10	    910000	      8134	      6377
       100	    910000	      7161	      6613
      1000	    910000	      7949	      6007
     10000	    910000	      7592	      5351
    100000	    910000	      8936	      3574
        10	    920000	      7536	      6404
       100	    920000	      7654	      6419
      1000	    920000	      7512	      6418
     10000	    920000	      7613	      5583
    100000	    920000	      8964	      3608
        10	    930000	      7891	      7221
       100	    930000	      7594	      6646
      1000	    930000	      7484	      6420
     10000	    930000	      7707	      5468
    100000	    930000	      8992	      3687
        10	    940000	      8066	      6651
       100	    940000	      7531	      6381
      1000	    940000	      7496	      6623
     10000	    940000	      7513	      5695
    100000	    940000	      9128	      3783
        10	    950000	      8062	      6668
       100	    950000	      7719	      6402
      1000	    950000	      7716	      6672
     10000	    950000	      7775	      6038
    100000	    950000	      9270	      3819
        10	    960000	      8159	      6404
       100	    960000	      7841	      6298
      1000	    960000	      7851	      6577
     10000	    960000	      8359	      6833
    100000	    960000	      9299	      3875
        10	    970000	      8160	      6796
       100	    970000	      7851	      6774
      1000	    970000	      7613	      6462
     10000	    970000	      7994	      6258
    100000	    970000	     10044	      4019
        10	    980000	      8571	      6587
       100	    980000	      7984	      6854
      1000	    980000	      7918	      6491
     10000	    980000	      8132	      6241
    100000	    980000	      9988	      3901
        10	    990000	      8776	      6991
       100	    990000	      8026	      6625
      1000	    990000	      7889	      7032
     10000	    990000	      8133	      5848
    100000	    990000	      9994	      5281
        10	   1000000	      8348	      7084
       100	   1000000	      8182	      6774
      1000	   1000000	      8073	      6955
     10000	   1000000	      8457	      5981
    100000	   1000000	      9761	      3840
